Unnamed: 0,Name,Party,State,score
Baldwin (D-WI),Baldwin,D,WI,0.020556151924299382
Barrasso (R-WY),Barrasso,R,WY,0.8667013776945409
Bennet (D-CO),Bennet,D,CO,0.07356936950143955
Blackburn (R-TN),Blackburn,R,TN,0.9403148494339997
Blumenthal (D-CT),Blumenthal,D,CT,0.020556151924299382
Blunt (R-MO),Blunt,R,MO,0.8135572895218919
Booker (D-NJ),Booker,D,NJ,0.020556151924299382
Boozman (R-AR),Boozman,R,AR,0.8638290083390053
Braun (R-IN),Braun,R,IN,0.8888772414194477
Brown (D-OH),Brown,D,OH,0.020709973971968165
Burr (R-NC),Burr,R,NC,0.8135572895218919
Cantwell (D-WA),Cantwell,D,WA,0.020709973971968165
Capito (R-WV),Capito,R,WV,0.7610677300484259
Cardin (D-MD),Cardin,D,MD,0.04674387937621338
Carper (D-DE),Carper,D,DE,0.026187727451914222
Casey (D-PA),Casey,D,PA,0.07459979762100455
Cassidy (R-LA),Cassidy,R,LA,0.8665581727942009
Collins (R-ME),Collins,R,ME,0.7053106525468681
Coons (D-DE),Coons,D,DE,0.04674387937621338
Cornyn (R-TX),Cornyn,R,TX,0.8165834809250964
Cortez Masto (D-NV),Cortez,D,NV,0.0465900573285446
Cotton (R-AR),Cotton,R,AR,0.9131147157428376
Cramer (R-ND),Cramer,R,ND,0.8369535001844097
Crapo (R-ID),Crapo,R,ID,0.8165834809250964
Cruz (R-TX),Cruz,R,TX,0.9642261721641132
Daines (R-MT),Daines,R,MT,0.8910117724913402
Duckworth (D-IL),Duckworth,D,IL,0.0465900573285446
Durbin (D-IL),Durbin,D,IL,0.04674387937621338
Ernst (R-IA),Ernst,R,IA,0.86470329913149
Feinstein (D-CA),Feinstein,D,CA,0.04674387937621338
Fischer (R-NE),Fischer,R,NE,0.8120172889215315
Gillibrand (D-NY),Gillibrand,D,NY,0.020556151924299382
Graham (R-SC),Graham,R,SC,0.7834258872241009
Grassley (R-IA),Grassley,R,IA,0.8152731830647268
Hagerty (R-TN),Hagerty,R,TN,0.8901969526645551
Harris (D-CA),Harris,D,CA,0.6543717952539642
Hassan (D-NH),Hassan,D,NH,0.0735181163350046
Hawley (R-MO),Hawley,R,MO,0.9577055324878603
Heinrich (D-NM),Heinrich,D,NM,0.047535464097194224
Hickenlooper (D-CO),Hickenlooper,D,CO,0.10034360646023088
Hirono (D-HI),Hirono,D,HI,0.020709973971968165
Hoeven (R-ND),Hoeven,R,ND,0.8638290083390053
